Timestamp (s),X,Y,Z
0,-0.0045928955,-0.041671753,-0.082977295
0.1,-0.0834198,-0.09387207,-0.032913208
0.2,-0.034423828,-0.35272217,-0.1298523
0.3,-0.107925415,-0.06617737,-0.032913208
0.4,-0.46798706,-0.39108276,-0.05102539
0.5,-1.2562866,-0.87257385,-0.2875061
0.6,0.14666748,0.35354614,-0.23318481
0.7,0.20100403,-0.4326172,-0.14157104
0.8,0.15838623,-0.22808838,0.00970459
0.9,0.33628845,0.13409424,-0.080841064
1,-0.36039734,-0.08534241,-0.19270325
1.1,-0.06425476,-0.02142334,0.16842651
1.2,0.044403076,0.12876892,-0.06486511
1.3,0.15838623,0.106399536,0.2973175
1.4,0.48968506,0.07444763,0.09385681
1.5,-0.5063324,-0.09173584,0.090652466
1.6,-0.21339417,0.21826172,0.8171692
1.7,2.670288,-0.6552582,-0.017990112
1.8,2.6809387,-1.2954865,0.77456665
1.9,-2.1202087,-0.4294281,0.9290161
2,5.3888397,-0.7585907,0.8906708
2.1,-1.1763916,0.86912537,-0.54104614
2.2,-8.364792,0.56126404,1.2432709
2.3,7.066635,-1.0867004,-1.8875427
2.4,2.319809,0.5506134,0.21635437
2.5,-6.9416046,1.5700684,2.7165375
2.6,4.041275,-2.803894,-2.2486572
2.7,7.7558594,-1.797226,-2.3658447
2.8,-1.0315094,-0.23661804,-0.22465515
2.9,-7.108841,0.9181366,2.722931
3,3.7078552,-2.9999084,-3.820984
3.1,-2.7412567,0.51226807,0.57855225
3.2,-6.8435974,1.6542358,1.2518005
3.3,2.4210052,-0.31330872,0.088531494
3.4,0.87957764,0.1383667,0.22488403
3.5,1.2119446,1.2345123,1.0440674
3.6,-0.55960083,-0.15991211,-0.085113525
3.7,0.012451172,-0.00012207031,-0.10960388
3.8,0.10939026,0.090423584,0.065093994
3.9,0.5205841,0.19161987,0.0927887
4,-0.18702698,-0.1775055,-0.001739502
4.1,0.044128418,0.0046539307,-0.019836426
4.2,0.15066528,0.050460815,-0.03050232
4.3,0.19966125,0.23262024,-0.052871704
4.4,0.6204376,0.8312988,0.09414673
4.5,0.19433594,0.5649872,0.109054565
4.6,-0.012329102,0.109054565,0.03981018
4.7,0.16877747,0.26564026,-0.11465454
4.8,-0.11352539,0.095199585,0.030227661
4.9,-0.051742554,-0.010253906,0.0035858154
5,0.06970215,-0.013458252,-0.0027923584
5.1,-0.06451416,-0.005996704,-0.057128906
5.2,-0.07836914,0.006790161,-0.001739502
